,prop_type,city,postal_code,lat,lon,size (sqft),price
0,single_family,Reynoldsburg,43068,39.957421,-82.78482,1384,215000
1,single_family,Reynoldsburg,43068,39.97468,-82.802768,2728,309000
2,single_family,Reynoldsburg,43068,39.960455,-82.783167,1994,235000
3,single_family,Reynoldsburg,43068,39.965443,-82.828064,2442,337900
4,single_family,Reynoldsburg,43068,39.945831,-82.823952,1404,165000
5,single_family,Reynoldsburg,43068,39.974514,-82.758076,2076,250000
6,single_family,Reynoldsburg,43068,39.959847,-82.802115,1025,145000
7,single_family,Reynoldsburg,43068,39.920778,-82.822929,1470,175000
8,single_family,Reynoldsburg,43068,39.964519,-82.819478,1620,184900
9,single_family,Reynoldsburg,43068,39.965832,-82.771634,2240,269900
10,single_family,Reynoldsburg,43068,39.946392,-82.820849,1404,175000
11,single_family,Etna,43068,39.957711,-82.735617,1408,239900
12,condo,Reynoldsburg,43068,39.941304,-82.784797,1176,160000
13,single_family,Reynoldsburg,43068,39.977659,-82.814479,2235,249500
14,single_family,Reynoldsburg,43068,39.939186,-82.827336,1962,189900
15,single_family,Reynoldsburg,43068,39.978423,-82.759328,2053,260000
16,single_family,Reynoldsburg,43068,39.970207,-82.757451,2664,324900
17,single_family,Reynoldsburg,43068,39.973819,-82.777019,1977,308900
18,single_family,Reynoldsburg,43068,39.951641,-82.810887,1404,189628
19,single_family,Reynoldsburg,43068,39.973346,-82.780037,2201,274900
20,single_family,Etna,43068,39.958807,-82.734263,1008,215000
21,single_family,Reynoldsburg,43068,39.963222,-82.822019,1674,195500
22,single_family,Reynoldsburg,43068,39.966542,-82.8251,1956,264900
23,single_family,Reynoldsburg,43068,39.976022,-82.797814,2405,349900
24,condo,Reynoldsburg,43068,39.980031,-82.811064,1351,199900
25,land,Reynoldsburg,NA,39.969806,-82.796553,NA,374900
26,single_family,Reynoldsburg,43068,39.94368,-82.778403,3421,325000
27,single_family,Reynoldsburg,43068,39.96433,-82.828989,1558,219900
28,single_family,Reynoldsburg,43068,39.946321,-82.816435,1152,159900
29,single_family,Reynoldsburg,43068,39.94487,-82.820134,1098,159900
30,single_family,Reynoldsburg,43068,39.975926,-82.779661,2690,315900
31,single_family,Reynoldsburg,43068,39.954205,-82.796064,1501,169900
32,single_family,Reynoldsburg,43068,39.919286,-82.814135,1206,169900
33,single_family,Reynoldsburg,43068,39.960973,-82.823704,1416,199500
34,single_family,Reynoldsburg,43068,39.952563,-82.788387,1965,270100
35,single_family,Reynoldsburg,43068,39.961538,-82.824592,1008,145000
36,single_family,Reynoldsburg,43068,39.967696,-82.786966,3660,329900
37,single_family,Reynoldsburg,43068,39.975835,-82.759135,2133,264900
38,single_family,Reynoldsburg,43068,39.947174,-82.826905,1152,159900
39,single_family,Reynoldsburg,43068,39.973685,-82.769416,1284,239000
40,single_family,Reynoldsburg,43068,39.93948,-82.815618,3000,264900
41,single_family,Reynoldsburg,43068,39.972145,-82.8252,2216,249999
42,single_family,Reynoldsburg,43068,39.948739,-82.820569,1404,162000
43,single_family,Reynoldsburg,43068,39.946126,-82.816807,1579,165000
44,single_family,Reynoldsburg,43068,39.962075,-82.808818,1040,149900
45,single_family,Reynoldsburg,43068,39.956321,-82.80238,1537,199900
46,single_family,Reynoldsburg,43068,39.961561,-82.782976,1144,169000
47,single_family,Reynoldsburg,43068,39.969471,-82.800801,1473,159990
48,single_family,Reynoldsburg,43068,39.979835,-82.806752,2048,275000
49,single_family,Reynoldsburg,43068,39.919749,-82.803688,1888,240000
50,single_family,Reynoldsburg,43068,39.917799,-82.814999,1773,185000
51,single_family,Reynoldsburg,43068,39.962359,-82.808545,1907,239900
52,single_family,Reynoldsburg,43068,39.97216,-82.759524,2220,299500
53,single_family,Reynoldsburg,43068,39.958034,-82.826748,1794,229900
54,single_family,Reynoldsburg,43068,39.943373,-82.788761,2248,259900
55,single_family,Reynoldsburg,43068,39.919123,-82.816697,1122,149900
56,single_family,Reynoldsburg,43068,39.950514,-82.810283,1152,150000
57,single_family,Reynoldsburg,43068,39.989766,-82.766391,3598,329000
58,single_family,Reynoldsburg,43068,39.967296,-82.793215,2370,259900
59,single_family,Reynoldsburg,43068,39.966562,-82.805646,1688,174900
60,single_family,Reynoldsburg,43068,39.962913,-82.801987,984,167900
61,single_family,Reynoldsburg,43068,39.96277,-82.781795,1304,143000
62,condo,Reynoldsburg,43068,39.981267,-82.805935,1748,269900
63,single_family,Reynoldsburg,43068,39.962667,-82.81641,2008,314990
64,single_family,Reynoldsburg,43068,39.918035,-82.807278,1300,199900
65,single_family,Reynoldsburg,43068,39.966094,-82.802905,984,147900
66,single_family,Reynoldsburg,43068,39.96903,-82.801329,1025,159900
67,single_family,Reynoldsburg,43068,39.955099,-82.798052,2072,279900
68,land,Etna,NA,39.944888,-82.736045,NA,300000
69,single_family,Reynoldsburg,43068,39.94687,-82.735623,2040,312000
70,land,Etna,NA,39.954729,-82.736078,NA,119000
71,land,Etna,NA,39.939341,-82.770024,NA,179000
72,single_family,Reynoldsburg,43068,39.941319,-82.762506,3772,462000
73,land,Reynoldsburg,NA,39.973005,-82.805762,NA,35000
74,single_family,Reynoldsburg,43068,39.962732,-82.818145,3456,299900
75,single_family,Reynoldsburg,43068,39.962712,-82.817662,5002,324900
76,single_family,Reynoldsburg,43068,39.954241,-82.796967,1386,164900
