,prop_type,city,postal_code,lat,lon,size (sqft),price
0,single_family,South Portland,04106,43.623887,-70.310596,1832,300000
1,land,South Portland,NA,43.631955,-70.272265,NA,128000
2,single_family,South Portland,04106,43.633051,-70.285517,1764,419000
3,single_family,South Portland,04106,43.623314,-70.303265,1579,370000
4,multi_family,South Portland,04106,43.632405,-70.244216,2288,499000
5,single_family,South Portland,04106,43.634389,-70.244565,1556,425000
6,single_family,South Portland,04106,43.636287,-70.226323,1048,464900
7,single_family,South Portland,04106,43.644163,-70.234343,1896,595000
8,multi_family,South Portland,04106,43.647092,-70.243327,2517,590000
9,condo,South Portland,04106,43.631542,-70.285962,1064,249900
10,condo,South Portland,04106,43.608756,-70.278222,1489,528000
11,condo,South Portland,04106,43.631542,-70.285962,1028,433000
12,condo,South Portland,04106,43.631542,-70.285962,1100,466500
13,single_family,South Portland,04106,43.64048,-70.226954,1916,689000
14,single_family,South Portland,04106,43.630653,-70.273054,1205,324900
15,single_family,South Portland,04106,43.625692,-70.291975,1768,299000
16,single_family,South Portland,04106,43.634555,-70.246239,1896,389000
17,single_family,South Portland,04106,43.639888,-70.22634,845,550000
18,land,South Portland,NA,43.611481,-70.26717,NA,220000
19,land,South Portland,NA,43.616841,-70.31033,NA,100000
20,land,South Portland,NA,43.6164,-70.310494,NA,129900
21,land,South Portland,NA,43.616545,-70.310718,NA,129900
