prop_type,city,postal_code,lat,lon,size (sqft),price
condo,Springfield,22152,38.775559,-77.207214,1088,364500
single_family,Springfield,22152,38.763908,-77.245242,1968,639900
condo,Springfield,22152,38.762769,-77.213153,1702,590000
condo,Springfield,22152,38.759317,-77.225431,2250,515000
single_family,Springfield,22152,38.784639,-77.227758,2047,587250
single_family,Springfield,22152,38.769782,-77.252968,2361,650000
condo,Springfield,22152,38.761158,-77.21387,840,229000
single_family,Springfield,22152,38.783345,-77.217421,2865,720000
single_family,Springfield,22152,38.778771,-77.243132,3606,940000
condo,Springfield,22152,38.793926,-77.238019,798,249999
condo,Springfield,22152,38.765955,-77.210685,2030,549900
single_family,Springfield,22152,38.772209,-77.226839,2423,649900
single_family,Springfield,22152,38.771823,-77.249156,2533,680000
single_family,Springfield,22152,38.769743,-77.254835,3150,730000
single_family,Springfield,22152,38.789596,-77.237786,2194,749999
condo,Springfield,22152,38.79452,-77.239731,798,190000
condo,Springfield,22152,38.783043,-77.250253,1882,535000
condo,Springfield,22152,38.790723,-77.22843,691,199900
condo,Springfield,22152,38.794572,-77.234988,972,270000
condo,Springfield,22152,38.795305,-77.239921,675,190000
condo,Springfield,22152,38.773291,-77.261585,2260,550000
single_family,Springfield,22152,38.791494,-77.241916,2842,799977
single_family,Springfield,22152,38.765932,-77.228233,2504,685000
condo,Springfield,22152,38.795001,-77.237663,798,274900
single_family,Springfield,22152,38.771399,-77.249289,1464,625000
single_family,Springfield,22152,38.784621,-77.221046,1455,679900
condo,Springfield,22152,38.77571,-77.256191,1900,455000
condo,Springfield,22152,38.764439,-77.209422,2704,555000
condo,Springfield,22152,38.776108,-77.256869,1800,480000
condo,Springfield,22152,38.790229,-77.225621,992,315000
condo,Springfield,22152,38.761864,-77.22128,1744,540000
condo,Springfield,22152,38.77478,-77.208159,1960,399900
single_family,Springfield,22152,38.768682,-77.249548,2054,715000
single_family,Springfield,22152,38.769901,-77.234499,1968,649000
single_family,Springfield,22152,38.789106,-77.219828,3012,775000
condo,Springfield,22152,38.785361,-77.248336,1942,525000
condo,Springfield,22152,38.776278,-77.207036,1280,370000
single_family,Springfield,22152,38.770142,-77.212341,2224,860000
single_family,Springfield,22152,38.77568,-77.214568,2454,620000
condo,Springfield,22152,38.791822,-77.231363,1104,275000
condo,Springfield,22152,38.79539,-77.23849,663,199900
single_family,Springfield,22152,38.766888,-77.251958,2941,730000
condo,Springfield,22152,38.79446,-77.23667,1104,289500
condo,Springfield,22152,38.763494,-77.214426,1366,575000
condo,Springfield,22152,38.786835,-77.250398,1644,460000
condo,Springfield,22152,38.785573,-77.250657,953,388500
condo,Springfield,22152,38.792671,-77.233665,961,268500
condo,Springfield,22152,38.772599,-77.25423,2528,539000
single_family,Springfield,22152,38.773869,-77.209602,2264,579900
condo,Springfield,22152,38.792908,-77.234627,676,219900
condo,Springfield,22152,38.79236,-77.23342,1104,295000
condo,Springfield,22152,38.788545,-77.225345,1798,495000
condo,Springfield,22152,38.76243,-77.21355,1804,560000
single_family,Springfield,22152,38.773025,-77.258662,1368,569000
single_family,Springfield,NA,38.761279,-77.206389,NA,1300000
single_family,Springfield,NA,38.761412,-77.206438,NA,1350000
